"LOCATION","INDICATOR","SUBJECT","MEASURE","FREQUENCY","TIME","Value","Flag Codes"
"BEL","CLI","AMPLITUD","LTRENDIDX","M","2019-01",99.93694,
"BEL","CLI","AMPLITUD","LTRENDIDX","M","2019-02",99.9171,
"BEL","CLI","AMPLITUD","LTRENDIDX","M","2019-03",99.90326,
"BEL","CLI","AMPLITUD","LTRENDIDX","M","2019-04",99.87873,
"BEL","CLI","AMPLITUD","LTRENDIDX","M","2019-05",99.83983,
"BEL","CLI","AMPLITUD","LTRENDIDX","M","2019-06",99.7874,
"BEL","CLI","AMPLITUD","LTRENDIDX","M","2019-07",99.7307,
"BEL","CLI","AMPLITUD","LTRENDIDX","M","2019-08",99.69214,
"BEL","CLI","AMPLITUD","LTRENDIDX","M","2019-09",99.69084,
"BEL","CLI","AMPLITUD","LTRENDIDX","M","2019-10",99.74281,
"BEL","CLI","AMPLITUD","LTRENDIDX","M","2019-11",99.80397,
"BEL","CLI","AMPLITUD","LTRENDIDX","M","2019-12",99.84031,
"BEL","CLI","AMPLITUD","LTRENDIDX","M","2020-01",99.83284,
"BEL","CLI","AMPLITUD","LTRENDIDX","M","2020-02",99.78891,
"BEL","CLI","AMPLITUD","LTRENDIDX","M","2020-03",97.66385,
"BEL","CLI","AMPLITUD","LTRENDIDX","M","2020-04",92.55833,
"BEL","CLI","AMPLITUD","LTRENDIDX","M","2020-05",94.93761,
"BEL","CLI","AMPLITUD","LTRENDIDX","M","2020-06",97.0585,
"BEL","CLI","AMPLITUD","LTRENDIDX","M","2020-07",98.60919,
"BEL","CLI","AMPLITUD","LTRENDIDX","M","2020-08",99.52242,
"BEL","CLI","AMPLITUD","LTRENDIDX","M","2020-09",99.62595,
"HUN","CLI","AMPLITUD","LTRENDIDX","M","2019-01",100.9472,
"HUN","CLI","AMPLITUD","LTRENDIDX","M","2019-02",100.9298,
"HUN","CLI","AMPLITUD","LTRENDIDX","M","2019-03",100.8625,
"HUN","CLI","AMPLITUD","LTRENDIDX","M","2019-04",100.7464,
"HUN","CLI","AMPLITUD","LTRENDIDX","M","2019-05",100.6024,
"HUN","CLI","AMPLITUD","LTRENDIDX","M","2019-06",100.4507,
"HUN","CLI","AMPLITUD","LTRENDIDX","M","2019-07",100.3237,
"HUN","CLI","AMPLITUD","LTRENDIDX","M","2019-08",100.2218,
"HUN","CLI","AMPLITUD","LTRENDIDX","M","2019-09",100.1385,
"HUN","CLI","AMPLITUD","LTRENDIDX","M","2019-10",100.0459,
"HUN","CLI","AMPLITUD","LTRENDIDX","M","2019-11",99.8941,
"HUN","CLI","AMPLITUD","LTRENDIDX","M","2019-12",99.63475,
"HUN","CLI","AMPLITUD","LTRENDIDX","M","2020-01",99.25748,
"HUN","CLI","AMPLITUD","LTRENDIDX","M","2020-02",98.7739,
"HUN","CLI","AMPLITUD","LTRENDIDX","M","2020-03",98.24017,
"HUN","CLI","AMPLITUD","LTRENDIDX","M","2020-04",94.28018,
"HUN","CLI","AMPLITUD","LTRENDIDX","M","2020-05",93.99648,
"HUN","CLI","AMPLITUD","LTRENDIDX","M","2020-06",95.67448,
"HUN","CLI","AMPLITUD","LTRENDIDX","M","2020-07",95.62899,
"HUN","CLI","AMPLITUD","LTRENDIDX","M","2020-08",95.68322,
"HUN","CLI","AMPLITUD","LTRENDIDX","M","2020-09",95.76009,
"OECDE","CLI","AMPLITUD","LTRENDIDX","M","2019-01",99.53033,
"OECDE","CLI","AMPLITUD","LTRENDIDX","M","2019-02",99.49254,
"OECDE","CLI","AMPLITUD","LTRENDIDX","M","2019-03",99.46307,
"OECDE","CLI","AMPLITUD","LTRENDIDX","M","2019-04",99.43205,
"OECDE","CLI","AMPLITUD","LTRENDIDX","M","2019-05",99.39319,
"OECDE","CLI","AMPLITUD","LTRENDIDX","M","2019-06",99.35273,
"OECDE","CLI","AMPLITUD","LTRENDIDX","M","2019-07",99.32513,
"OECDE","CLI","AMPLITUD","LTRENDIDX","M","2019-08",99.32247,
"OECDE","CLI","AMPLITUD","LTRENDIDX","M","2019-09",99.34353,
"OECDE","CLI","AMPLITUD","LTRENDIDX","M","2019-10",99.38223,
"OECDE","CLI","AMPLITUD","LTRENDIDX","M","2019-11",99.41715,
"OECDE","CLI","AMPLITUD","LTRENDIDX","M","2019-12",99.43006,
"OECDE","CLI","AMPLITUD","LTRENDIDX","M","2020-01",99.40964,
"OECDE","CLI","AMPLITUD","LTRENDIDX","M","2020-02",99.35554,
"OECDE","CLI","AMPLITUD","LTRENDIDX","M","2020-03",97.06709,
"OECDE","CLI","AMPLITUD","LTRENDIDX","M","2020-04",90.71953,
"OECDE","CLI","AMPLITUD","LTRENDIDX","M","2020-05",93.31511,
"OECDE","CLI","AMPLITUD","LTRENDIDX","M","2020-06",96.95596,
"OECDE","CLI","AMPLITUD","LTRENDIDX","M","2020-07",98.11044,
"OECDE","CLI","AMPLITUD","LTRENDIDX","M","2020-08",98.47259,
"OECDE","CLI","AMPLITUD","LTRENDIDX","M","2020-09",98.65454,
"OECD","CLI","AMPLITUD","LTRENDIDX","M","2019-01",99.7745,
"OECD","CLI","AMPLITUD","LTRENDIDX","M","2019-02",99.68903,
"OECD","CLI","AMPLITUD","LTRENDIDX","M","2019-03",99.62392,
"OECD","CLI","AMPLITUD","LTRENDIDX","M","2019-04",99.56622,
"OECD","CLI","AMPLITUD","LTRENDIDX","M","2019-05",99.5041,
"OECD","CLI","AMPLITUD","LTRENDIDX","M","2019-06",99.44289,
"OECD","CLI","AMPLITUD","LTRENDIDX","M","2019-07",99.39536,
"OECD","CLI","AMPLITUD","LTRENDIDX","M","2019-08",99.37106,
"OECD","CLI","AMPLITUD","LTRENDIDX","M","2019-09",99.38042,
"OECD","CLI","AMPLITUD","LTRENDIDX","M","2019-10",99.41794,
"OECD","CLI","AMPLITUD","LTRENDIDX","M","2019-11",99.46317,
"OECD","CLI","AMPLITUD","LTRENDIDX","M","2019-12",99.49193,
"OECD","CLI","AMPLITUD","LTRENDIDX","M","2020-01",99.47968,
"OECD","CLI","AMPLITUD","LTRENDIDX","M","2020-02",99.41767,
"OECD","CLI","AMPLITUD","LTRENDIDX","M","2020-03",97.69222,
"OECD","CLI","AMPLITUD","LTRENDIDX","M","2020-04",93.17708,
"OECD","CLI","AMPLITUD","LTRENDIDX","M","2020-05",94.81512,
"OECD","CLI","AMPLITUD","LTRENDIDX","M","2020-06",97.03869,
"OECD","CLI","AMPLITUD","LTRENDIDX","M","2020-07",98.08919,
"OECD","CLI","AMPLITUD","LTRENDIDX","M","2020-08",98.53291,
"OECD","CLI","AMPLITUD","LTRENDIDX","M","2020-09",98.79954,
"ESP","CLI","AMPLITUD","LTRENDIDX","M","2019-01",101.368,
"ESP","CLI","AMPLITUD","LTRENDIDX","M","2019-02",101.4059,
"ESP","CLI","AMPLITUD","LTRENDIDX","M","2019-03",101.4156,
"ESP","CLI","AMPLITUD","LTRENDIDX","M","2019-04",101.3847,
"ESP","CLI","AMPLITUD","LTRENDIDX","M","2019-05",101.3215,
"ESP","CLI","AMPLITUD","LTRENDIDX","M","2019-06",101.2226,
"ESP","CLI","AMPLITUD","LTRENDIDX","M","2019-07",101.0845,
"ESP","CLI","AMPLITUD","LTRENDIDX","M","2019-08",100.9182,
"ESP","CLI","AMPLITUD","LTRENDIDX","M","2019-09",100.7213,
"ESP","CLI","AMPLITUD","LTRENDIDX","M","2019-10",100.4758,
"ESP","CLI","AMPLITUD","LTRENDIDX","M","2019-11",100.1676,
"ESP","CLI","AMPLITUD","LTRENDIDX","M","2019-12",99.78353,
"ESP","CLI","AMPLITUD","LTRENDIDX","M","2020-01",99.31625,
"ESP","CLI","AMPLITUD","LTRENDIDX","M","2020-02",98.75563,
"ESP","CLI","AMPLITUD","LTRENDIDX","M","2020-03",95.5005,
"ESP","CLI","AMPLITUD","LTRENDIDX","M","2020-04",92.19133,
"ESP","CLI","AMPLITUD","LTRENDIDX","M","2020-05",93.27582,
"ESP","CLI","AMPLITUD","LTRENDIDX","M","2020-06",95.43594,
"ESP","CLI","AMPLITUD","LTRENDIDX","M","2020-07",95.21649,
"ESP","CLI","AMPLITUD","LTRENDIDX","M","2020-08",94.31528,
"ESP","CLI","AMPLITUD","LTRENDIDX","M","2020-09",94.30508,
"TUR","CLI","AMPLITUD","LTRENDIDX","M","2019-01",96.25636,
"TUR","CLI","AMPLITUD","LTRENDIDX","M","2019-02",96.69525,
"TUR","CLI","AMPLITUD","LTRENDIDX","M","2019-03",97.1627,
"TUR","CLI","AMPLITUD","LTRENDIDX","M","2019-04",97.59652,
"TUR","CLI","AMPLITUD","LTRENDIDX","M","2019-05",97.95786,
"TUR","CLI","AMPLITUD","LTRENDIDX","M","2019-06",98.31481,
"TUR","CLI","AMPLITUD","LTRENDIDX","M","2019-07",98.71612,
"TUR","CLI","AMPLITUD","LTRENDIDX","M","2019-08",99.19243,
"TUR","CLI","AMPLITUD","LTRENDIDX","M","2019-09",99.6935,
"TUR","CLI","AMPLITUD","LTRENDIDX","M","2019-10",100.1989,
"TUR","CLI","AMPLITUD","LTRENDIDX","M","2019-11",100.5966,
"TUR","CLI","AMPLITUD","LTRENDIDX","M","2019-12",100.8238,
"TUR","CLI","AMPLITUD","LTRENDIDX","M","2020-01",100.8095,
"TUR","CLI","AMPLITUD","LTRENDIDX","M","2020-02",100.5575,
"TUR","CLI","AMPLITUD","LTRENDIDX","M","2020-03",100.1881,
"TUR","CLI","AMPLITUD","LTRENDIDX","M","2020-04",79.87157,
"TUR","CLI","AMPLITUD","LTRENDIDX","M","2020-05",91.41885,
"TUR","CLI","AMPLITUD","LTRENDIDX","M","2020-06",99.64056,
"TUR","CLI","AMPLITUD","LTRENDIDX","M","2020-07",100.5523,
"TUR","CLI","AMPLITUD","LTRENDIDX","M","2020-08",101.3482,
"TUR","CLI","AMPLITUD","LTRENDIDX","M","2020-09",101.7216,
"CHL","CLI","AMPLITUD","LTRENDIDX","M","2019-01",99.63551,
"CHL","CLI","AMPLITUD","LTRENDIDX","M","2019-02",99.35523,
"CHL","CLI","AMPLITUD","LTRENDIDX","M","2019-03",99.15129,
"CHL","CLI","AMPLITUD","LTRENDIDX","M","2019-04",99.0007,
"CHL","CLI","AMPLITUD","LTRENDIDX","M","2019-05",98.89061,
"CHL","CLI","AMPLITUD","LTRENDIDX","M","2019-06",98.84707,
"CHL","CLI","AMPLITUD","LTRENDIDX","M","2019-07",98.85122,
"CHL","CLI","AMPLITUD","LTRENDIDX","M","2019-08",98.86087,
"CHL","CLI","AMPLITUD","LTRENDIDX","M","2019-09",98.85564,
